Country Name,child_mortality,exports,health,imports,income,inflation,life_expectancy,fertility_rate,gdp_pc,corruption,acc_clean_cooking
Morocco,16.7,34.093057468891,4.99129868,41.9050584109511,3116.80151367188,0.816805456485284,74.27,2.382,3498.58276367188,0.335644423961639,98.1
Mozambique,52.6,37.1420563594711,7.95272589,68.4491150385804,389.848410709038,4.67764534674804,61.166,4.783,512.215756850012,0.858943164348602,4.9
Namibia,30.5,36.400882444122,8.43033981,46.5002696252189,4366.48151709431,0.926318636067421,63.075,3.404,5126.17614281673,-0.327528208494186,46.5
Nepal,26.0,7.77993647445109,4.45,41.4695901124501,1114.71081843183,4.69115593292496,69.558,2.08,1185.68231827815,0.691047370433807,35.5
Netherlands,3.4,82.5377127008628,10.14,72.7329639446286,42706.659125801,3.03273379248688,82.1121951219512,1.57,52476.2732533327,-1.86780214309692,100.0
New Zealand,4.1,27.3503056565813,9.49310207,27.1141375841523,35420.775325485,3.08556630950096,82.0560975609756,1.72,42747.2099299966,-2.13102984428406,100.0
Nicaragua,14.4,44.8045000879666,8.56945896,49.2377809583133,1666.97671682866,5.39491189934525,74.054,2.377,1905.64091736446,1.03205943107605,55.9
Niger,62.0,10.7593769160532,5.66642094,26.3431895090269,553.83923810959,-0.0243827627404585,62.897,6.961,549.81612777766,0.570193111896515,3.7
North Macedonia,6.2,62.4080567878813,7.07,76.1681750526576,5290.93843273119,0.86816868476069,76.6024390243903,1.34,6718.85826635458,0.456622540950775,78.2
Norway,1.9,36.640925320627,10.44,34.2548952066717,60649.0231328457,-0.548467415755809,82.9585365853659,1.53,76430.5889473338,-2.03383588790894,100.0
Oman,9.3,49.492016987897,3.80648994,36.984116670703,12834.5286835516,-2.66616164476726,78.002,2.776,19132.1522739094,-0.421542644500732,100.0
Pakistan,55.7,9.39086337877951,2.84736943,19.5147124206658,1336.6373201061,9.03633484170507,66.756,3.62,1437.1658330724,0.879330098628998,47.8
Panama,13.6,40.3086697473788,8.46795654,40.2053275785557,13342.468707283,0.315250866507228,77.81,2.375,16472.8317470488,0.643557012081146,100.0
Paraguay,16.6,36.0872909434467,7.16081905,35.1348707907966,5182.22136988233,3.06187945458328,73.621,2.525,5807.83879407975,0.893414497375488,68.1
Peru,12.4,24.0390874349068,5.17916393,22.9044179405342,5964.37276651487,1.87221626775495,76.156,2.242,6956.49574886694,0.509206771850586,83.3
Philippines,22.2,28.3829200122031,4.17,40.4589222463066,3404.17377277025,0.697076301045342,71.865,2.805,3413.84904430419,0.605999052524567,52.3
Poland,3.8,53.1953356183897,6.46,49.4933781721763,13241.2566021095,3.03253664890715,77.9048780487805,1.44,15700.0135796738,-0.610989212989807,100.0
Portugal,2.8,43.5084218458323,9.51,43.0562955633461,18587.7770796772,1.74945223999291,81.6756097560976,1.43,23330.817288932,-0.745713293552399,100.0
Qatar,5.3,52.1888599262863,3.20278597,37.8575156222525,45786.1438284201,-4.45591420530452,80.99,1.834,62827.3969554767,-0.817250907421112,100.0
Romania,5.6,40.2001946616386,5.71,44.3028663616078,10527.7675145004,6.80532496653751,75.6073170731707,1.77,12957.9991142218,0.236526757478714,100.0
Russian Federation,4.7,28.4334306799759,5.65,20.7953229819275,8831.005859375,3.26313281881684,73.0839024390244,1.504,11447.701171875,0.821954846382141,99.5
Rwanda,31.2,21.8254493508994,6.34386826,36.1502175415314,652.573605709965,2.47116019800046,66.437,3.939,806.332472032037,-0.521026968955994,3.3
Samoa,15.9,35.033330142378,5.63886738,48.2977494392677,3785.68392443935,1.49948619479095,72.157,4.047,4308.3007294066,-0.648035407066345,36.3
Saudi Arabia,6.2,34.0891962076157,5.46742678,26.1089900267695,18613.7383495447,-2.02274033833496,77.304,2.504,23405.7087429435,-0.246477007865906,100.0
Senegal,30.9,24.9831341973865,4.49531031,39.253116408714,1268.49415200905,2.08580185181253,68.526,4.517,1462.67835252138,0.00381421996280551,28.85
Serbia,4.9,51.0109231509171,8.66552734,60.9436743497558,5940.80437873148,2.44060040801315,75.9365853658537,1.52,7417.20660836868,0.449989259243011,78.7
Seychelles,12.8,82.3562686214226,4.77020788,91.0515782587732,14365.2021208322,0.126950238609624,74.0463414634146,2.36,19141.5118743615,-1.17598176002502,100.0
Sierra Leone,82.6,18.2469355821227,9.12992668,37.9437132929722,440.943205771954,7.70278499631038,60.255,4.192,506.606913779078,0.471661597490311,0.7
Singapore,2.0,176.300088650586,4.39938164,146.77034130281,46216.4181019565,-0.20441464095768,83.5951219512195,1.14,66081.7199235165,-2.12010598182678,100.0
Slovak Republic,4.9,91.908685245264,6.92,91.5847618505417,15653.3082241243,2.49431822113719,77.6658536585366,1.57,19381.8905468746,-0.188275024294853,100.0
Slovenia,2.0,83.6146933079979,8.5,75.0237735725477,20799.5597845233,2.29485081978052,81.5292682926829,1.61,26042.4463468032,-0.888942241668701,100.0
Solomon Islands,17.2,36.4969019192988,4.32405567,46.5014356959347,2173.41058776372,1.24130303241819,70.382,4.104,2398.77305007963,0.0503519363701344,8.6
South Africa,28.2,27.2021294051151,8.24418926,26.6958670030255,5449.04868623949,4.61352469052481,66.175,2.475,6702.52661671812,0.0310517251491547,87.4
Spain,2.7,34.9069018147542,9.1456852,31.966988702647,25125.8717222279,1.44735843001939,83.8317073170732,1.23,29581.5185513299,-0.666526734828949,100.0
Sri Lanka,6.2,21.8235328944217,3.9,27.6019929599505,3671.849396381,3.8705276117724,76.008,2.019,4082.69404871533,0.303825676441193,31.1
Sudan,40.2,8.45298341762853,4.57422638,17.666637037634,632.1044921875,51.9788933465452,65.876,4.617,748.010925292969,1.40784466266632,58.9
Sweden,2.2,47.8092109523511,10.83,43.6246180157354,44558.1229340654,2.54687548145611,83.109756097561,1.71,51939.4297445291,-2.09203410148621,100.0
Switzerland,3.5,66.9653936798419,11.06363678,57.1622185006251,62588.3361826227,-0.103895158007788,83.9048780487805,1.48,84121.9310304414,-1.94505643844604,100.0
Tajikistan,29.4,14.9799392742745,6.95,41.0650766403151,909.464433374569,3.65868395013121,70.867,3.281,889.023340713117,1.34555351734161,83.1
Tanzania,33.3,16.0367461484986,3.88136053,16.9818431017325,942.602661132813,2.2804089300173,66.989,4.864,1050.93176269531,0.423007667064667,6.2
Thailand,7.7,59.5188906218859,3.78911877,50.1706240932801,5947.10984923316,1.01442340642497,78.975,1.352,7628.57603307351,0.471759527921677,83.1
Timor-Leste,45.7,21.2720506908123,6.02679253,49.5343640017878,1429.31665277511,4.87409651725565,68.268,3.336,1583.07860279061,0.400570154190063,13.7
Togo,45.6,23.8124527104537,5.726192,32.3299406897562,790.416900828662,0.01194354395939,60.901,4.385,848.310124981212,0.747289180755615,9.6
Tonga,10.1,21.9718329230219,4.75078154,65.1936142705855,4842.40818916592,7.70373059426311,70.871,3.315,4878.97868604087,0.329820722341537,83.6
Tunisia,12.4,45.9504427945255,6.02461243,56.3824215859282,2951.31246029355,7.1347612102296,75.993,2.148,3477.83618091653,0.140877202153206,99.8
